"'Allowance' column title","заглавие колона "Помощи""
"'Attribute 1' column",""Умение 1" колона"
"'Attribute 2' column",""Умение 2" колона"
"'Attribute 3' column",""Умение 3" колона"
"'Attribute 4' column",""Умение 4" колона"
"'Attribute Combine' column",""Умение Комбинирайте" колона"
"'Product barcode' column",""Каталог на баркод" колона"
"'Product images' column","колона "Продуктови снимки""
"'Product name' column","колона "Наименование на продукта""
"'Product weight' column",""Тегло на продукта" колона"
"'Qty' column","колона "Количество""
"'ship-address' and 'bill-address' column format",""Кораб-адрес" и "Бил-адрес" формат колона"
"'ship-address' and' bill-address' column format",""Кораб-адрес" и "Бил-адрес" формат колона"
"'SKU' column","колона "Код""
"'Stock qty' column",""Наличност Брой" колона"
"'Stock warning' column",""Склад за предупреждение", колона"
"'Tick boxes' next to item SKUs?",""кутийките" до точка ИЕ?"
"'Tickbox 2nd' column","колона "Tickbox втората""
"'Tickbox' column","колона "Tickbox""
"'Warehouse' column","колона "Склад""
"(%) Default is 100%","(%) По подразбиране е 100%"
"(Attribute must exist)","(Умение трябва да съществува)"
"(Default : "Total Price Col" X-Pos)","(По подразбиране: "Обща цена Col" X-Pos)"
"(Default:No)","(По подразбиране: No)"
"(Default:Yes)","(По подразбиране: Да)"
"(negative to shift it down)","(Отрицателен, за да го измести надолу)"
"(standard for invoices)","(Стандарт за фактури)"
"(Tip: Upload placeholder images in Config > Catalog)","(Съвет: Качи заместващи изображения в Config> Каталог)"
"(Upload placeholder images in Config > Catalog)","(Качване на заместващи изображения в Config> Каталог)"
"(Used if 'Position of shelving info' set to 'Columns')","(Използва се, ако "Позиция на стелажи инфо" настроен на "Колони")"
"['Payment due ']","['Да се ​​плати до ']"
"[#000000] (#HEX colour code)","[# 000000] (# шестнадесетична цветен код)"
"[#111111] (#HEX colour code)","[# 111111] (# шестнадесетична цветен код)"
"[#5BA638] (#HEX colour code)","[# 5BA638] (# шестнадесетична цветен код)"
"[#87CEEB] (#HEX colour code)","[# 87CEEB] (# шестнадесетична цветен код)"
"[#8AC371] (#HEX colour code)","[# 8AC371] (# шестнадесетична цветен код)"
"[#FFFFFF] (#HEX colour code)","[# FFFFFF] (# шестнадесетична цветен код)"
"[10] (negative to shift it down)","[10] (отрицателен, за да го измести надолу)"
"[10] (negative to shift it down)<br />(Make about half image height to center text)<br />(If you need to show options, probably don't shift)","[10] (отрицателен, за да го измести надолу) <br /> (Направи около половината от височината на изображението, за да центрирате текст) <br /> (Ако трябва да покаже възможности, най-вероятно не се смени)"
"[10pt]/5pt (top/bottom), 5pt (left/right)","[10pt] / 5pt (горе / долу), 5pt (ляво / дясно)"
"[15pt] - Set larger to print a larger barcode","[15pt] - Определете по-голям, за да отпечатате по-голям баркод"
"[30] - Set to same as Sku X-Pos to print barcode under Sku","[30] - Задаване на същата като Код на продукта X-Pos за отпечатване на баркод под Код на продукта"
"[blank]","[Празно]"
"[Default = No]","[Default = No]"
"[Equal]","[Равно]"
"[Invoice then Packing Sheet]","[Фактура след Опаковка Sheet]"
"[Italic]","[Italic]"
"[More than]","[Повече от]"
"[No]","[Не]"
"[No] : Default","[No]: По подразбиране"
"[No] (No = Word-wrap)","[No] (Не = Word-обвивка)"
"[No] If set to yes, gift messages will print with this font.","[No] Ако е да, подарък съобщения ще печатат с този шрифт."
"[OpenSans]","[OpenSans]"
"[Packing Sheet then Invoice]","[Опаковка Sheet тогава фактура]"
"[Partially: Lines top &amp; bottom]","[Частично: Линии в началото & усилвател; дъното]"
"[price]","[цена]"
"[qty]","[Бр]"
"[Regular]","[Редовен]"
"[sku]","[Код]"
"[stock]","[наличност]"
"[Yes (from Magento)]","[Yes (от Magento)]"
"[Yes]","[Yes]"
"[Yes] : Default;","[Yes]: По подразбиране;"
"[Yes] (Adds 'Included' to tax label)","[Yes] (добавя "Включено" за данъчен етикет)"
"[Yes] (No = Word-wrap)","[Yes] (Не = Word-обвивка)"
"[Yes]<br />- If you have slightly 'dirty data' (eg. product names with linebreaks in) set this to yes.","[Yes] <br /> - (. Например имена на продукти с прекъсвания на редовете в) Ако имате леко "мръсни данни", установени това да да."
