"Invoice Selected","Berechnen"
"Capture Selected","Erfassen"
"Ship Selected","Versenden"
"Invoice + Capture Selected","Berechnen + Erfassen"
"Invoice + Ship Selected","Berechnen + Versenden"
"Capture + Ship Selected","Erfassen + Versenden"
"Invoice + Capture + Ship Selected","Berechnen + Erfassen + Versenden"
"Mass Status Update","Status Ändern"
"Custom Carrier","Dienstleister (editierbar)"
"Default","Standard"
"Created Shipment","Versendung erstellt"
"Created Invoice","Rechnung erstellt"
"Status changed","Status geändert"
"Captured Invoice","Rechnung erfasst"
"Captured Invoices", "Rechnungen erfasst"
"can't capture","kann Betrag nicht erfassen"
"can't capture - order has no invoices","kann Betrag nicht erfassen - keine Rechnungen vorhanden"
"Captured","Erfasst"
"Created Invoice and Shipment","Rechnung und Versand erstellt"
"Invoiced and shipped","Berechnet und versandt"
"Invoiced and Captured","Berechnet und erfasst"
"can't capture, shipment won't be created","kann Betrag nicht erfassen, Versand wird nicht erstellt"
"can't capture - order has no invoices, shipment won't be created","kann Betrag nicht erfassen - keine Rechnungen vorhanden, Versand wird nicht erstellt"
"Captured and shipped","Erfasst und versandt"
"Invoiced, captured and shipped","Berechnet, erfasst und versandt"
"Fooman Order Manager", "Fooman Order Manager"
"Order Manager Settings", "Order Manager Einstellungen"
"Preselected Carrier", "Vorausgewählter Dienstleister"
"Name of Custom Carrier", "Dienstleister (editierbar)"
"Display Carrier Column", "Spalte für Dienstleister"
"Display Tracking Column", "Spalte für Versandverfolgung"
"Display Billing Address", "Spalte für Rechnungsadresse"
"Display Shipping Address", "Spalte für Versandadresse"
"Invoice Selected Action", "Berechnen"
"Send Email", "Versende Email"
"Ship Selected Action", "Versenden"
"Capture Selected Action", "Erfassen"
"New Status", "Neuer Status"
"Invoice and Capture Selected Action", "Berechnen und Erfassen"
"Invoice and Ship Selected Action", "Berechnen und Versenden"
"Send Invoice Email", "Versende Rechnungs-Email"
"Send Shipment Email", "Versende Versand-Email"
"Capture and Ship Selected Action", "Erfassen und Versenden"
"Invoice, Capture and Ship Selected Action", "Berechnen, Erfassen und Versenden"
"Status Update Action", "Ändere Status Aktion"
"No %s available","keine %s verfügbar"
"Display Shipping Information","Spalte für Versandinformation"
"Custom Value","Frei wählbar"
"Keep Order Selection","Behalte Bestellungsauswahl"
