"'Allowance' column title","'Allowance' column title"
"'Attribute 1' column","'Attribute 1' column"
"'Attribute 2' column","'Attribute 2' column"
"'Attribute 3' column","'Attribute 3' column"
"'Attribute 4' column","'Attribute 4' column"
"'Attribute Combine' column","'Attribute Combine' column"
"'Product barcode' column","'Product barcode' column"
"'Product images' column","'Product images' column"
"'Product name' column","'Product name' column"
"'Product weight' column","'Product weight' column"
"'Qty' column","'Qty' column"
"'ship-address' and 'bill-address' column format","'ship-address' and 'bill-address' column format"
"'ship-address' and' bill-address' column format","'ship-address' and' bill-address' column format"
"'SKU' column","'SKU' column"
"'Stock qty' column","'Stock qty' column"
"'Stock warning' column","'Stock warning' column"
"'Tick boxes' next to item SKUs?","'Tick boxes' next to item SKUs?"
"'Tickbox 2nd' column","'Tickbox 2nd' column"
"'Tickbox' column","'Tickbox' column"
"'Warehouse' column","'Warehouse' column"
"(%) Default is 100%","(%) Default is 100%"
"(Attribute must exist)","(Attribute must exist)"
"(Default : "Total Price Col" X-Pos)","(Default : "Total Price Col" X-Pos)"
"(Default:No)","(Default:No)"
"(Default:Yes)","(Default:Yes)"
"(negative to shift it down)","(negative to shift it down)"
"(standard for invoices)","(standard for invoices)"
"(Tip: Upload placeholder images in Config > Catalog)","(Tip: Upload placeholder images in Config > Catalog)"
"(Upload placeholder images in Config > Catalog)","(Upload placeholder images in Config > Catalog)"
"(Used if 'Position of shelving info' set to 'Columns')","(Used if 'Position of shelving info' set to 'Columns')"
"['Payment due ']","['Payment due ']"
"[#000000] (#HEX colour code)","[#000000] (#HEX colour code)"
"[#111111] (#HEX colour code)","[#111111] (#HEX colour code)"
"[#5BA638] (#HEX colour code)","[#5BA638] (#HEX colour code)"
"[#87CEEB] (#HEX colour code)","[#87CEEB] (#HEX colour code)"
"[#8AC371] (#HEX colour code)","[#8AC371] (#HEX colour code)"
"[#FFFFFF] (#HEX colour code)","[#FFFFFF] (#HEX colour code)"
"[10] (negative to shift it down)","[10] (negative to shift it down)"
"[10] (negative to shift it down)<br />(Make about half image height to center text)<br />(If you need to show options, probably don't shift)","[10] (negative to shift it down)<br />(Make about half image height to center text)<br />(If you need to show options, probably don't shift)"
"[10pt]/5pt (top/bottom), 5pt (left/right)","[10pt]/5pt (top/bottom), 5pt (left/right)"
"[15pt] - Set larger to print a larger barcode","[15pt] - Set larger to print a larger barcode"
"[30] - Set to same as Sku X-Pos to print barcode under Sku","[30] - Set to same as Sku X-Pos to print barcode under Sku"
"[blank]","[blank]"
"[Default = No]","[Default = No]"
"[Equal]","[Equal]"
"[Invoice then Packing Sheet]","[Invoice then Packing Sheet]"
"[Italic]","[Italic]"
"[More than]","[More than]"
"[No]","[No]"
"[No] : Default","[No] : Default"
"[No] (No = Word-wrap)","[No] (No = Word-wrap)"
"[No] If set to yes, gift messages will print with this font.","[No] If set to yes, gift messages will print with this font."
"[OpenSans]","[OpenSans]"
"[Packing Sheet then Invoice]","[Packing Sheet then Invoice]"
"[Partially: Lines top &amp; bottom]","[Partially: Lines top &amp; bottom]"
"[price]","[price]"
"[qty]","[qty]"
"[Regular]","[Regular]"
"[sku]","[sku]"
"[stock]","[stock]"
"[Yes (from Magento)]","[Yes (from Magento)]"
"[Yes]","[Yes]"
"[Yes] : Default;","[Yes] : Default;"
"[Yes] (Adds 'Included' to tax label)","[Yes] (Adds 'Included' to tax label)"
"[Yes] (No = Word-wrap)","[Yes] (No = Word-wrap)"
"[Yes]<br />- If you have slightly 'dirty data' (eg. product names with linebreaks in) set this to yes.","[Yes]<br />- If you have slightly 'dirty data' (eg. product names with linebreaks in) set this to yes."
"[Yes]<br />- If you have spreadsheet cells getting mixed up, check this is turned on.<br />- If set to Yes, set the spreadsheet importer to 'Fields de-limited by " character'.","[Yes]<br />- If you have spreadsheet cells getting mixed up, check this is turned on.<br />- If set to Yes, set the spreadsheet importer to 'Fields de-limited by " character'."
"&nbsp;&nbsp;Custom Value","&nbsp;&nbsp;Custom Value"
"&nbsp;&nbsp;Value","&nbsp;&nbsp;Value"
"&nbsp;Eg. enter 'Captured amount' to not show authorize.net payments<br / >Separate multiple phrases by the pipe character: <b>|</b>","&nbsp;Eg. enter 'Captured amount' to not show authorize.net payments<br / >Separate multiple phrases by the pipe character: <b>|</b>"
"<b>Default Label dimensions (portrait):</b>","<b>Default Label dimensions (portrait):</b>"
"<b>Label dimensions:250,200</b>","<b>Label dimensions:250,200</b>"
"<div class="column_config_section" style="width:60%!important">","<div class="column_config_section" style="width:60%!important">"
"<div class="column_config_section">","<div class="column_config_section">"
"<div class="column_config_section"><div class="column_config_para" style="margin-top: -12em;"><b>Structure:</b> <span class = "comment_code">{if X}</span><span class = "comment_code">{X}</span>,|<span  class = "comment_code">{/if}</span><br /><b>Can use these codes: </b><br /><span class = "comment_code">{prefix}</span><span  class = "comment_code">{name}</span><span class = "comment_code">{firstname}</span><span class = "comment_code">{lastname}</span><span  class = "comment_code">{suffix}</span><span class = "comment_code">{company}</span><span class = "comment_code">{street}</span><span  class = "comment_code">{city}</span><span class = "comment_code">{postcode}</span><span class = "comment_code">{country}</span><br />","<div class="column_config_section"><div class="column_config_para" style="margin-top: -12em;"><b>Structure:</b> <span class = "comment_code">{if X}</span><span class = "comment_code">{X}</span>,|<span  class = "comment_code">{/if}</span><br /><b>Can use these codes: </b><br /><span class = "comment_code">{prefix}</span><span  class = "comment_code">{name}</span><span class = "comment_code">{firstname}</span><span class = "comment_code">{lastname}</span><span  class = "comment_code">{suffix}</span><span class = "comment_code">{company}</span><span class = "comment_code">{street}</span><span  class = "comment_code">{city}</span><span class = "comment_code">{postcode}</span><span class = "comment_code">{country}</span><br />"
"<div class="column_config_section"><div class="column_config_para" style="margin-top: -7.5em;"><b>Structure:</b> <span class = "comment_code">{Attribute A}</span>,<span class = "comment_code">{Attribute  B}</span>","<div class="column_config_section"><div class="column_config_para" style="margin-top: -7.5em;"><b>Structure:</b> <span class = "comment_code">{Attribute A}</span>,<span class = "comment_code">{Attribute  B}</span>"
"<div class="column_config_section"><div class="column_config_para" style="margin-top: -7.5em;"><b>Structure:</b> <span class = "comment_code">{if x}</span><span class = "comment_code">{x}</span>,|<span  class = "comment_code">{/if}</span><br /><b>Can use these codes: </b><br /><span class = "comment_code">{prefix}</span><span  class = "comment_code">{name}</span><span class = "comment_code">{firstname}</span><span class = "comment_code">{lastname}</span><span  class = "comment_code">{suffix}</span><span class = "comment_code">{company}</span><span class = "comment_code">{street}</span><span  class = "comment_code">{city}</span><span class = "comment_code">{postcode}</span><span class = "comment_code">{country}</span><br />","<div class="column_config_section"><div class="column_config_para" style="margin-top: -7.5em;"><b>Structure:</b> <span class = "comment_code">{if x}</span><span class = "comment_code">{x}</span>,|<span  class = "comment_code">{/if}</span><br /><b>Can use these codes: </b><br /><span class = "comment_code">{prefix}</span><span  class = "comment_code">{name}</span><span class = "comment_code">{firstname}</span><span class = "comment_code">{lastname}</span><span  class = "comment_code">{suffix}</span><span class = "comment_code">{company}</span><span class = "comment_code">{street}</span><span  class = "comment_code">{city}</span><span class = "comment_code">{postcode}</span><span class = "comment_code">{country}</span><br />"
"<div class="column_config_section"><div class="column_config_para" style="margin-top: -7.5em;"><b>Structure:</b><br />","<div class="column_config_section"><div class="column_config_para" style="margin-top: -7.5em;"><b>Structure:</b><br />"
"<div class="column_config_section"><div class="column_config_para">[No] Some couriers (like Royal Mail) require no accents in shipping labels.</div></div>","<div class="column_config_section"><div class="column_config_para">[No] Some couriers (like Royal Mail) require no accents in shipping labels.</div></div>"
"<div class="column_config_section"><div class="column_config_para"><b>Structure:</b><br />","<div class="column_config_section"><div class="column_config_para"><b>Structure:</b><br />"
"<div class="column_config_section"><div class="column_config_para">eg. Put your country, then only overseas orders will have country added </div></div>","<div class="column_config_section"><div class="column_config_para">eg. Put your country, then only overseas orders will have country added </div></div>"
"<div class="column_config_section"><div class="column_config_para">If your PDFs print with missing or tofu (<b style="font-size:200%;font-weight:100;display:inline;position:relative;top:5px;">&#9647;</b>) characters, set this to 'Yes'.<br/>Setting this to 'Yes' will make your PDFs about 0.4mb bigger.<br/>If that doesn't work for you: set 'Customise fonts' to 'Yes'; then set 'Use non-roman characters to 'Yes'; then try the other font families.</div></div>","<div class="column_config_section"><div class="column_config_para">If your PDFs print with missing or tofu (<b style="font-size:200%;font-weight:100;display:inline;position:relative;top:5px;">&#9647;</b>) characters, set this to 'Yes'.<br/>Setting this to 'Yes' will make your PDFs about 0.4mb bigger.<br/>If that doesn't work for you: set 'Customise fonts' to 'Yes'; then set 'Use non-roman characters to 'Yes'; then try the other font families.</div></div>"
"<div class="column_config_section"><div class="column_config_para">Set to the most prominent colour in your logo. [#8AC371]<br/>(Used for title borders).</div></div>","<div class="column_config_section"><div class="column_config_para">Set to the most prominent colour in your logo. [#8AC371]<br/>(Used for title borders).</div></div>"
"<div class="column_config_section"><div class="column_config_para">Use this if you need a specific cutoff point (eg for labels) which the auto-cutoff is going over","<div class="column_config_section"><div class="column_config_para">Use this if you need a specific cutoff point (eg for labels) which the auto-cutoff is going over"
