"'Allowance' column title","título de la columna "indemnización""
"'Attribute 1' column","columna "Atributo 1 '"
"'Attribute 2' column","columna "Atributo 2 '"
"'Attribute 3' column","columna "Atributo 3 '"
"'Attribute 4' column","columna "Atributo 4 '"
"'Attribute Combine' column","Atributo 'Combine' columna"
"'Product barcode' column","columna "código de barras del producto '"
"'Product images' column","la columna '' Las imágenes del producto"
"'Product name' column","la columna "Nombre del producto""
"'Product weight' column","columna "Peso del producto '"
"'Qty' column","la columna 'Cantidad'"
"'ship-address' and 'bill-address' column format","'Barco-dirección "y" factura-dirección de' formato de columna"
"'ship-address' and' bill-address' column format","'Barco-dirección "y" factura-dirección de' formato de columna"
"'SKU' column","la columna 'Código'"
"'Stock qty' column","la columna 'disponible Cantidad'"
"'Stock warning' column","la columna 'de la advertencia'"
"'Tick boxes' next to item SKUs?","'casillas' próximos al punto SKU?"
"'Tickbox 2nd' column","'Tickbox segundo' columna"
"'Tickbox' column","la columna 'Tickbox'"
"'Warehouse' column","la columna 'Almacén'"
"(%) Default is 100%","(%) Por defecto es 100%"
"(Attribute must exist)","(Atributo debe existir)"
"(Default : "Total Price Col" X-Pos)","(Por defecto: "Precio Total Col" X-Pos)"
"(Default:No)","(Por defecto: No)"
"(Default:Yes)","(Por defecto: Sí)"
"(negative to shift it down)","(Negativo para desplazar hacia abajo)"
"(standard for invoices)","(Estándar para las facturas)"
"(Tip: Upload placeholder images in Config > Catalog)","(Consejo: Subir imágenes marcadores de posición en Config> Catálogo)"
"(Upload placeholder images in Config > Catalog)","(Subir imágenes marcadores de posición en Config> Catálogo)"
"(Used if 'Position of shelving info' set to 'Columns')","(Se utiliza si 'Posición de estanterías información' ajustado a 'Columnas')"
"['Payment due ']","['Fecha de pago ']"
"[#000000] (#HEX colour code)","[# 000000] (#hex código de color)"
"[#111111] (#HEX colour code)","[# 111111] (#hex código de color)"
"[#5BA638] (#HEX colour code)","[# 5BA638] (#hex código de color)"
"[#87CEEB] (#HEX colour code)","[# 87CEEB] (código de color #hex)"
"[#8AC371] (#HEX colour code)","[# 8AC371] (código de color #hex)"
"[#FFFFFF] (#HEX colour code)","[# FFFFFF] (código de color #hex)"
"[10] (negative to shift it down)","[10] (negativo para desplazar hacia abajo)"
"[10] (negative to shift it down)<br />(Make about half image height to center text)<br />(If you need to show options, probably don't shift)","[10] (negativo para desplazar hacia abajo) <br /> (tomamos sobre la altura de la mitad de la imagen para centrar el texto) <br /> (Si necesita mostrar opciones, probablemente no se muevan)"
"[10pt]/5pt (top/bottom), 5pt (left/right)","[10pt] / 5pt (arriba / abajo), 5pt (izquierda / derecha)"
"[15pt] - Set larger to print a larger barcode","[15pt] - conjunto más amplio para imprimir un código de barras más grande"
"[30] - Set to same as Sku X-Pos to print barcode under Sku","[30] - Set de igual Sku X-POS para imprimir códigos de barras bajo Sku"
"[blank]","[blanco]"
"[Default = No]","[Defecto = No]"
"[Equal]","[Igual]"
