"'Allowance' column title","'Allocation' titre de la colonne"
"'Attribute 1' column","colonne "Attribut 1 '"
"'Attribute 2' column","colonne "Attribut 2 '"
"'Attribute 3' column","colonne "Attribut 3 '"
"'Attribute 4' column","colonne "Attribut 4 '"
"'Attribute Combine' column","'Attribut Combine' colonne"
"'Product barcode' column","colonne 'code-barres du produit'"
"'Product images' column","colonne 'images du produit'"
"'Product name' column","colonne 'Nom du produit'"
"'Product weight' column","colonne "Poids du produit '"
"'Qty' column","colonne 'Quantité'"
"'ship-address' and 'bill-address' column format",""Navire-adresse" et "bill-address 'format de colonne"
"'ship-address' and' bill-address' column format",""Navire-adresse" et "bill-address 'format de colonne"
"'SKU' column","colonne "SKU""
"'Stock qty' column","colonne "Stock qté '"
"'Stock warning' column","colonne "Stock d'avertissement""
"'Tick boxes' next to item SKUs?",""boîtes Cochez" à côté de l'article UGS?"
"'Tickbox 2nd' column","colonne 'Tickbox 2e'"
"'Tickbox' column","colonne 'Tickbox'"
"'Warehouse' column","colonne 'Warehouse'"
"(%) Default is 100%","(%) Par défaut est de 100%"
"(Attribute must exist)","(Attribut doit exister)"
"(Default : "Total Price Col" X-Pos)","(Par défaut: "Prix total Col" X-Pos)"
"(Default:No)","(Par défaut: Non)"
"(Default:Yes)","(Par défaut: Oui)"
"(negative to shift it down)","(Négatif pour le déplacer vers le bas)"
"(standard for invoices)","(Standard pour les factures)"
"(Tip: Upload placeholder images in Config > Catalog)","(Astuce: Télécharger des images d'espace réservé dans Config> Catalogue)"
"(Upload placeholder images in Config > Catalog)","(Télécharger des images d'espace réservé dans Config> Catalogue)"
"(Used if 'Position of shelving info' set to 'Columns')","(Utilisé si "Position des étagères info 'réglé sur" Colonnes ")"
"['Payment due ']","[ 'Paiement dû']"
"[#000000] (#HEX colour code)","[# 000000] (#hex code couleur)"
"[#111111] (#HEX colour code)","[# 111111] (#hex code couleur)"
"[#5BA638] (#HEX colour code)","[# 5BA638] (#hex code couleur)"
"[#87CEEB] (#HEX colour code)","[# 87CEEB] (code de couleur #hex)"
"[#8AC371] (#HEX colour code)","[# 8AC371] (code de couleur #hex)"
"[#FFFFFF] (#HEX colour code)","[#FFFFFF] (Code de couleur #hex)"
"[10] (negative to shift it down)","[10] (négative pour le déplacer vers le bas)"
"[10] (negative to shift it down)<br />(Make about half image height to center text)<br />(If you need to show options, probably don't shift)","[10] (négative pour le déplacer vers le bas) <br /> (Faire environ la moitié hauteur de l'image pour centrer le texte) <br /> (Si vous avez besoin pour afficher les options, probablement ne se déplace pas)"
"[10pt]/5pt (top/bottom), 5pt (left/right)","[10pt] / 5pt (haut / bas), 5pt (gauche / droite)"
"[15pt] - Set larger to print a larger barcode","[15pt] - Définir plus grande pour imprimer un code à barres plus grande"
"[30] - Set to same as Sku X-Pos to print barcode under Sku","[30] - Réglez même que Sku X-Pos pour imprimer code à barres sous Sku"
"[blank]","[blanc]"
"[Default = No]","[Par défaut = Non]"
"[Equal]","[Égal]"
"[Invoice then Packing Sheet]","[Fiche de facture puis d'emballage]"
"[Italic]","[Italique]"
"[More than]","[Plus que]"
"[No]","[Non]"
"[No] : Default","[Non]: Par défaut"
"[No] (No = Word-wrap)","[No] (Non = Mot-wrap)"
"[No] If set to yes, gift messages will print with this font.","[Non] Si Oui, les messages cadeaux seront imprimés avec cette police."
"[OpenSans]","[OpenSans]"
"[Packing Sheet then Invoice]","[Emballage feuille puis Facture]"
"[Partially: Lines top &amp; bottom]","[Partiellement: Lignes top & amp; bas]"
"[price]","[prix]"
"[qty]","[Qty]"
"[Regular]","[Ordinaire]"
"[sku]","[Sku]"
"[stock]","[Stock]"
"[Yes (from Magento)]","[Oui (de Magento)]"
"[Yes]","[Oui]"
"[Yes] : Default;","[Oui]: Par défaut;"
"[Yes] (Adds 'Included' to tax label)","[Oui] (Ajoute 'Inclus' à l'étiquette d'impôt)"
"[Yes] (No = Word-wrap)","[Oui] (No = mot-wrap)"
"[Yes]<br />- If you have slightly 'dirty data' (eg. product names with linebreaks in) set this to yes.","[Oui] <br /> - (. Par exemple les noms de produits avec linebreaks dans) Si vous avez un peu "données sale" réglez ce paramètre sur oui."
"[Yes]<br />- If you have spreadsheet cells getting mixed up, check this is turned on.<br />- If set to Yes, set the spreadsheet importer to 'Fields de-limited by " character'.","[Oui] <br /> -. Si vous avez des cellules de feuille de calcul se mélanger, vérifier cette option est activée <br /> - Si défini sur Oui, réglez l'importateur de tableur pour "champs de-limitée par" caractère "."
"&nbsp;&nbsp;Custom Value","& Nbsp; & nbsp; Valeur personnalisée"
"&nbsp;&nbsp;Value","& Nbsp; & nbsp; Valeur"
"&nbsp;Eg. enter 'Captured amount' to not show authorize.net payments<br / >Separate multiple phrases by the pipe character: <b>|</b>","& Nbsp; par ex. entrez "montant Captured" pour ne pas afficher les paiements Authorize.net <br /> Séparer les phrases par le caractère pipe: <b> | </ b>"
"<b>Default Label dimensions (portrait):</b>","<B> dimensions par défaut d'étiquetage (portrait): </ b>"
"<b>Label dimensions:250,200</b>","<B> Dimensions de l'étiquette: 250200 </ b>"
"<div class="column_config_section" style="width:60%!important">","<Div class = style "column_config_section" = "width: 60% important">"
"<div class="column_config_section">","<Div class = "column_config_section">"
"<div class="column_config_section"><div class="column_config_para" style="margin-top: -12em;"><b>Structure:</b> <span class = "comment_code">{if X}</span><span class = "comment_code">{X}</span>,|<span  class = "comment_code">{/if}</span><br /><b>Can use these codes: </b><br /><span class = "comment_code">{prefix}</span><span  class = "comment_code">{name}</span><span class = "comment_code">{firstname}</span><span class = "comment_code">{lastname}</span><span  class = "comment_code">{suffix}</span><span class = "comment_code">{company}</span><span class = "comment_code">{street}</span><span  class = "comment_code">{city}</span><span class = "comment_code">{postcode}</span><span class = "comment_code">{country}</span><br />","<Div class = "column_config_section"> <div class = style "column_config_para" = "margin-top: -12em;"> <b> Structure: </ b> <span class = "comment_code"> {if X} </ span class> <span class = "de comment_code"> {X} </ span>, | <span class = "comment_code"> {/ if} </ span> <br /> <b> Peut utiliser ces codes: </ b > <br /> <span class = "de comment_code"> {prefix} </ span> <span class = "comment_code"> {name} </ span> <span class = "comment_code"> {firstname} </ span> <span class = "de comment_code"> {lastname} </ span> <span class = "comment_code"> {suffixe} </ span> <span class = "comment_code"> {entreprise} </ span> <span class = " comment_code "> {rue} </ span> <span class =" comment_code "> {city} </ span> <span class =" comment_code "> {code postal} </ span> <span class =" comment_code "> {country } </ span> <br />"
"<div class="column_config_section"><div class="column_config_para" style="margin-top: -7.5em;"><b>Structure:</b> <span class = "comment_code">{Attribute A}</span>,<span class = "comment_code">{Attribute  B}</span>","<Div class = "column_config_section"> <div class = style "column_config_para" = "margin-top: -7.5em;"> <b> Structure: </ b> <span class = "comment_code"> {A} Attribut < / span>, <span class = "comment_code"> {Attribut B} </ span>"
"<div class="column_config_section"><div class="column_config_para" style="margin-top: -7.5em;"><b>Structure:</b> <span class = "comment_code">{if x}</span><span class = "comment_code">{x}</span>,|<span  class = "comment_code">{/if}</span><br /><b>Can use these codes: </b><br /><span class = "comment_code">{prefix}</span><span  class = "comment_code">{name}</span><span class = "comment_code">{firstname}</span><span class = "comment_code">{lastname}</span><span  class = "comment_code">{suffix}</span><span class = "comment_code">{company}</span><span class = "comment_code">{street}</span><span  class = "comment_code">{city}</span><span class = "comment_code">{postcode}</span><span class = "comment_code">{country}</span><br />","<Div class = "column_config_section"> <div class = style "column_config_para" = "margin-top: -7.5em;"> <b> Structure: </ b> <span class = "comment_code"> {if x} < / span> <span class = "comment_code"> {x} </ span>, | <span class = "comment_code"> {/ if} </ span> <br /> <b> Peut utiliser ces codes: </ b> <br /> <span class = "de comment_code"> {prefix} </ span> <span class = "comment_code"> {name} </ span> <span class = "comment_code"> {firstname} </ span > <span class = "de comment_code"> {lastname} </ span> <span class = "comment_code"> {suffixe} </ span> <span class = "comment_code"> {entreprise} </ span> <span class = "comment_code"> {rue} </ span> <span class = "comment_code"> {city} </ span> <span class = "comment_code"> {code postal} </ span> <span class = "comment_code"> { country} </ span> <br />"
"<div class="column_config_section"><div class="column_config_para" style="margin-top: -7.5em;"><b>Structure:</b><br />","<Div class = "column_config_section"> <div class = style "column_config_para" = "margin-top: -7.5em;"> <b> Structure: </ b> <br />"
"<div class="column_config_section"><div class="column_config_para">[No] Some couriers (like Royal Mail) require no accents in shipping labels.</div></div>","<Div class = "column_config_section"> <div class = "column_config_para"> [no] Certains courriers (comme Royal Mail) ne nécessitent pas des accents dans les étiquettes d'expédition. </ Div> </ div>"
"<div class="column_config_section"><div class="column_config_para"><b>Structure:</b><br />","<Div class = "column_config_section"> <div class = "column_config_para"> <b> Structure: </ b> <br />"
"<div class="column_config_section"><div class="column_config_para">eg. Put your country, then only overseas orders will have country added </div></div>","<Div class = "column_config_section"> <div class = "column_config_para"> par exemple. Mettez votre pays, seuls les commandes à l'étranger auront pays ajouté </ div> </ div>"
"<div class="column_config_section"><div class="column_config_para">If your PDFs print with missing or tofu (<b style="font-size:200%;font-weight:100;display:inline;position:relative;top:5px;">&#9647;</b>) characters, set this to 'Yes'.<br/>Setting this to 'Yes' will make your PDFs about 0.4mb bigger.<br/>If that doesn't work for you: set 'Customise fonts' to 'Yes'; then set 'Use non-roman characters to 'Yes'; then try the other font families.</div></div>","<Div class = "column_config_section"> <div class = "column_config_para"> Si vos fichiers PDF imprimer manquants ou tofu (<b style = "font-size: 200%; font-weight: 100; display: inline; position: relative ; top: 5px; "> & # 9647; </ b>) caractères, réglez cette option" Oui "<br/> réglage sur" Oui "rendra vos fichiers PDF à propos de 0.4MB plus grand <br/> Si cela.. ne fonctionne pas pour vous: ensemble "personnaliser les polices" à "Oui"; puis définissez "Utiliser les caractères non romains 'Oui'; puis essayez les autres familles de polices. </ div> </ div>"
"<div class="column_config_section"><div class="column_config_para">Set to the most prominent colour in your logo. [#8AC371]<br/>(Used for title borders).</div></div>","<Div class = "column_config_section"> <div class = "column_config_para"> Régler la couleur la plus importante dans votre logo. [# 8AC371] <br/> (Utilisé pour titre frontières). </ Div> </ div>"
"<div class="column_config_section"><div class="column_config_para">Use this if you need a specific cutoff point (eg for labels) which the auto-cutoff is going over","<Div class = "column_config_section"> <div class = "column_config_para"> Utilisez cette option si vous avez besoin d'un point de coupure spécifique (par exemple pour les étiquettes) qui l'auto-coupure va plus"
"<img src="//moogento.com/logo/moogento_tinylogo.lp.png" alt="Moogento" width="20" style="vertical-align:bottom;margin-left:-1px;"/> MOOGENTO Extensions","<img src = "// moogento.com/logo/moogento_tinylogo.lp.png" alt = width = le style "Moogento" "20" = "vertical-align: bottom; margin-left: -1px;" /> Extensions MOOGENTO"
"18 Flag","18 Flag"
"2 places","2 places"
"21 Flag","21 Flag"
"2a Shipmethod match","2a Shipmethod correspondance"
"2b Shipmethod match","2b Shipmethod correspondance"
"2c Shipmethod match","2c Shipmethod match de"
"2d Country negative match","2d Pays correspondance négative"
"2nd attribute?","2ème attribut?"
"2nd background image?","2ème image de fond?"
"2nd Custom page title","Page 2 personnalisée titre"
"2nd Image file","fichier 2ème image"
"2nd Order attribute code","2e ordre attribut Code"
"2nd Order custom attribute?","2ème ordre attribut personnalisé?"
"2nd page title","2ème titre de la page"
"2nd Sort by :","2ème Trier par:"
"2nd sort direction :","2ème direction de tri:"
"3 places","3 places"
"3rd attribute?","3ème attribut?"
"4 places","4 places"
"4th attribute?","4ème attribut?"
"Above address","Au-dessus de l'adresse"
"According to the USPS all addresses should be capitalised to improve delivery time","Selon l'USPS toutes les adresses doivent être capitalisés pour améliorer le temps de livraison"
"According to the USPS all addresses should be capitalised to improve delivery time and accuracy","Selon l'USPS toutes les adresses doivent être capitalisés pour améliorer le temps de livraison et de précision"
"Action Menu Options","Options d'action du menu"
"Actual attribute code (eg: shelf)","code d'attribut réelles (par exemple: étagère)"
"Add 'Packed by' note?","Ajouter 'Emballé par' note?"
"Add <b><a href="https://moogento.com/autocn22">autoCN22</a> Customs label?</b>","Ajouter <b> <a href="https://moogento.com/autocn22"> autoCN22 </a> étiquette des douanes? </ B>"
"Add 1 per line, exact attribute labels which you *don't* want to show","Ajouter 1 par ligne, des étiquettes d'attribut exactes que vous * ne * voulez pas montrer"
"Add 2nd Order ID barcode?","Ajouter 2e code à barres Numéro de commande?"
"Add 2nd shipping address?","Ajouter 2ème adresse de livraison?"
