"Invoice Selected","Seleziona Fattura"
"Capture Selected","Seleziona Cattura"
"Ship Selected","Seleziona Spedizione"
"Invoice + Capture Selected","Fattura + Seleziona Cattura"
"Invoice + Ship Selected","Fattura + Seleziona Spedizione"
"Capture + Ship Selected","Cattura + Seleziona Spedizione"
"Invoice + Capture + Ship Selected","Fattura + Cattura + Seleziona Spedizione"
"Mass Status Update","Aggiornamento Massivo dello Stato"
"Custom Carrier","Vettore Personalizzato"
"Default","Default"
"Created Shipment","Spedizione Creata"
"Created Invoice","Fattura Creata"
"Status changed","Stato Cambiato"
"Captured Invoice","Cattura Fattura"
"Captured Invoices","Cattura Fatturas"
"can't capture","non catturato"
"can't capture - order has no invoices","non catturato - l'ordine non ha fattura"
"Captured","Catturato"
"Created Invoice and Shipment","Crea Fattura e Spedizione"
"Invoiced and shipped","Fatturato e Spedizione"
"Invoiced and Captured","Fatturato e Catturato"
"can't capture, shipment won't be created","non catturato, la spedizione non vuole essere creata"
"can't capture - order has no invoices, shipment won't be created","non catturato - l'ordine non ha fattura, la spedizione non vuole essere creata"
"Captured and shipped","Catturato e spedito"
"Invoiced, captured and shipped","Fatturato, catturato e spedito"
"Fooman Order Manager", "Fooman Gestore degli ordini"
"Order Manager Settings", "Impostazioni del gestore degli ordini "
"Preselected Carrier", "Vettore preselezionato"
"Name of Custom Carrier", "Nome corriere personalizzato"
"Display Carrier Column", "Visualizza colonna corriere"
"Display Tracking Column", "Visualizza colonna tracciatura"
"Display Billing Address", "Visualizza indirizzo fatturazione"
"Display Shipping Address", "Visualizza indirizzo spedizione"
"Invoice Selected Action", "Azione selezionata fatturazione"
"Send Email", "Invia Email"
"Ship Selected Action", "Azione selezionata spedizione"
"Capture Selected Action", "Cattura azione selezionata"
"New Status", "Nuovo Stato"
"Invoice and Capture Selected Action", "Azione Selezionata Fattura e Cattura"
"Invoice and Ship Selected Action", "Azione Selezionata Spedizione e Fattura"
"Send Invoice Email", "Invia la Fattura via email"
"Send Shipment Email", "Invia la Spedizione via email"
"Capture and Ship Selected Action", "Azione Selezionata Cattura e Spedizione"
"Invoice, Capture and Ship Selected Action", "Azione Selezionata Cattura e Spedizione e Fatturazione"
"Status Update Action", "Status Operazione Aggiornato"
"No %s available","Non %s Disponibile"
"Display Shipping Information","Mostra le informazioni di spedizione"
"Keep Order Selection","Mantieni la selezione dell'ordine"
