"'Allowance' column title","titolo della colonna 'Allowance'"
"'Attribute 1' column","colonna 'Abilità 1'"
"'Attribute 2' column","colonna 'Abilità 2'"
"'Attribute 3' column","colonna 'attributo 3'"
"'Attribute 4' column","colonna 'attributo 4'"
"'Attribute Combine' column","'Attributo Combine' colonna"
"'Product barcode' column","colonna 'codice a barre del prodotto'"
"'Product images' column","colonna 'Immagini del prodotto'"
"'Product name' column","colonna 'Nome del prodotto'"
"'Product weight' column","colonna 'Peso del prodotto'"
"'Qty' column","colonna 'Quantità'"
"'ship-address' and 'bill-address' column format","'Nave-indirizzo' e 'fattura-indirizzo' formato di colonna"
"'ship-address' and' bill-address' column format","'Nave-indirizzo' e 'fattura-indirizzo' formato di colonna"
"'SKU' column","colonna 'SKU'"
"'Stock qty' column","colonna 'Qtà'"
"'Stock warning' column","colonna 'avvertimento della'"
"'Tick boxes' next to item SKUs?","'caselle' prossimi alla voce SKU?"
"'Tickbox 2nd' column","colonna 'Tickbox 2'"
"'Tickbox' column","colonna 'Tickbox'"
"'Warehouse' column","colonna 'magazzino'"
"(%) Default is 100%","(%) Di default è 100%"
"(Attribute must exist)","(Attributo deve esistere)"
"(Default : "Total Price Col" X-Pos)","(Default: "Prezzo totale Col" X-Pos)"
"(Default:No)","(Default: No)"
"(Default:Yes)","(Default: Si)"
"(negative to shift it down)","(Negativo per spostare verso il basso)"
"(standard for invoices)","(Standard per le fatture)"
"(Tip: Upload placeholder images in Config > Catalog)","(Suggerimento: Carica immagini segnaposto in Config> Catalogo)"
"(Upload placeholder images in Config > Catalog)","(Carica immagini segnaposto in Config> Catalogo)"
"(Used if 'Position of shelving info' set to 'Columns')","(Usato se 'Posizione di informazioni scaffalature' impostato su "Colonne")"
"['Payment due ']","['Pagamento dovuto ']"
"[#000000] (#HEX colour code)","[# 000000] (#HEX codice di colore)"
"[#111111] (#HEX colour code)","[# 111111] (#HEX codice di colore)"
"[#5BA638] (#HEX colour code)","[# 5BA638] (#HEX codice di colore)"
"[#87CEEB] (#HEX colour code)","[# 87CEEB] (codice colore #HEX)"
"[#8AC371] (#HEX colour code)","[# 8AC371] (codice colore #HEX)"
"[#FFFFFF] (#HEX colour code)","[#FFFFFF] (Codice colore #HEX)"
"[10] (negative to shift it down)","[10] (negativo per spostare verso il basso)"
"[10] (negative to shift it down)<br />(Make about half image height to center text)<br />(If you need to show options, probably don't shift)","[10] (negativo per spostare verso il basso) <br /> (Fai circa metà altezza dell'immagine per centrare il testo) <br /> (Se è necessario per visualizzare le opzioni, probabilmente non si sposta)"
"[10pt]/5pt (top/bottom), 5pt (left/right)","[10pt] / 5pt (alto / basso), 5pt (sinistra / destra)"
"[15pt] - Set larger to print a larger barcode","[15pt] - insieme più ampio di stampare un codice a barre grande"
"[30] - Set to same as Sku X-Pos to print barcode under Sku","[30] - Impostare stesso Cod X-Pos per la stampa di codici a barre sotto Cod"
"[blank]","[Vuoto]"
"[Default = No]","[Default = No]"
"[Equal]","[Pari]"
"[Invoice then Packing Sheet]","[Scheda Fattura poi dell'imballaggio]"
"[Italic]","[Corsivo]"
"[More than]","[Più di]"
"[No]","[No]"
"[No] : Default","[No]: default"
"[No] (No = Word-wrap)","[No] (No = Word-wrap)"
"[No] If set to yes, gift messages will print with this font.","[No] Se impostato su yes, i messaggi regalo sarà la stampa con questo tipo di carattere."
"[OpenSans]","[OpenSans]"
"[Packing Sheet then Invoice]","[Imballaggio Foglio poi fattura]"
"[Partially: Lines top &amp; bottom]","[In parte: Linee Top & amp; parte inferiore]"
"[price]","[prezzo]"
"[qty]","[Qty]"
"[Regular]","[Regolare]"
"[sku]","[SKU]"
"[stock]","[azione]"
"[Yes (from Magento)]","[Sì (da Magento)]"
"[Yes]","[Sì]"
"[Yes] : Default;","[Sì]: default;"
"[Yes] (Adds 'Included' to tax label)","[Sì] (Aggiunge 'gratuita' per l'etichetta fiscale)"
"[Yes] (No = Word-wrap)","[Sì] (No = Word-wrap)"
"[Yes]<br />- If you have slightly 'dirty data' (eg. product names with linebreaks in) set this to yes.","[Sì] <br /> - (es. Nomi di prodotti con interruzioni di linea a) Se si dispone di un po 'di dati sporca' attivare questa sì."
"[Yes]<br />- If you have spreadsheet cells getting mixed up, check this is turned on.<br />- If set to Yes, set the spreadsheet importer to 'Fields de-limited by " character'.","[Sì] <br /> -. Se si dispone di celle del foglio di confondersi, controllare questo viene acceso <br /> - Se impostato su Sì, impostare l'importatore foglio di calcolo per 'campi de-limitata dal "carattere'."
"&nbsp;&nbsp;Custom Value","& Nbsp; & nbsp; Valore personalizzato"
"&nbsp;&nbsp;Value","& Nbsp; & nbsp; Valore"
"&nbsp;Eg. enter 'Captured amount' to not show authorize.net payments<br / >Separate multiple phrases by the pipe character: <b>|</b>","& Nbsp; Eg. inserire 'importo Captured' per non mostrare i pagamenti Authorize.net <br /> Separa gli frasi dal carattere pipe: <b> | </ b>"
"<b>Default Label dimensions (portrait):</b>","<B> dimensioni etichetta predefinita (ritratto): </ b>"
"<b>Label dimensions:250,200</b>","<B> dimensioni dell'etichetta: 250.200 </ b>"
"<div class="column_config_section" style="width:60%!important">","<Div class = stile "column_config_section" = "width: 60% importante">"
"<div class="column_config_section">","<Div class = "column_config_section">"
"<div class="column_config_section"><div class="column_config_para" style="margin-top: -12em;"><b>Structure:</b> <span class = "comment_code">{if X}</span><span class = "comment_code">{X}</span>,|<span  class = "comment_code">{/if}</span><br /><b>Can use these codes: </b><br /><span class = "comment_code">{prefix}</span><span  class = "comment_code">{name}</span><span class = "comment_code">{firstname}</span><span class = "comment_code">{lastname}</span><span  class = "comment_code">{suffix}</span><span class = "comment_code">{company}</span><span class = "comment_code">{street}</span><span  class = "comment_code">{city}</span><span class = "comment_code">{postcode}</span><span class = "comment_code">{country}</span><br />","<Div class = "column_config_section"> <div class = stile "column_config_para" = "margin-top: -12em;"> <b> Struttura: </ b> <span class = "comment_code"> {if X} </ span class> <span class = "comment_code"> {X} </ span>, | <span class = "comment_code"> {/ if} </ span> <br /> <b> Può usare questi codici: </ b > <br /> <span class = "comment_code"> {prefix} </ span> <span class = "comment_code"> {nome} </ span> <span class = "comment_code"> {cognome} </ span> <span class = "comment_code"> {cognome} </ span> <span class = "comment_code"> {suffisso} </ span> <span class = "comment_code"> {azienda} </ span> <span class = " comment_code "> {via} </ span> <span class =" comment_code "> {city} </ span> <span class =" comment_code "> {Cap} </ span> <span class =" comment_code "> {paese } </ span> <br />"
"<div class="column_config_section"><div class="column_config_para" style="margin-top: -7.5em;"><b>Structure:</b> <span class = "comment_code">{Attribute A}</span>,<span class = "comment_code">{Attribute  B}</span>","<Div class = "column_config_section"> <div class = stile "column_config_para" = "margin-top: -7.5em;"> <b> Struttura: </ b> <span class = "comment_code"> {Attributo A} < / span>, <span class = "comment_code"> {attributi B} </ span>"
"<div class="column_config_section"><div class="column_config_para" style="margin-top: -7.5em;"><b>Structure:</b> <span class = "comment_code">{if x}</span><span class = "comment_code">{x}</span>,|<span  class = "comment_code">{/if}</span><br /><b>Can use these codes: </b><br /><span class = "comment_code">{prefix}</span><span  class = "comment_code">{name}</span><span class = "comment_code">{firstname}</span><span class = "comment_code">{lastname}</span><span  class = "comment_code">{suffix}</span><span class = "comment_code">{company}</span><span class = "comment_code">{street}</span><span  class = "comment_code">{city}</span><span class = "comment_code">{postcode}</span><span class = "comment_code">{country}</span><br />","<Div class = "column_config_section"> <div class = stile "column_config_para" = "margin-top: -7.5em;"> <b> Struttura: </ b> <span class = "comment_code"> {if x} < / span> <span class = "comment_code"> {x} </ span>, | <span class = "comment_code"> {/ if} </ span> <br /> <b> Può usare questi codici: </ b> <br /> <span class = "comment_code"> {prefix} </ span> <span class = "comment_code"> {nome} </ span> <span class = "comment_code"> {cognome} </ span > <span class = "comment_code"> {cognome} </ span> <span class = "comment_code"> {suffisso} </ span> <span class = "comment_code"> {azienda} </ span> <span class = "comment_code"> {via} </ span> <span class = "comment_code"> {city} </ span> <span class = "comment_code"> {Cap} </ span> <span class = "comment_code"> { paese} </ span> <br />"
"<div class="column_config_section"><div class="column_config_para" style="margin-top: -7.5em;"><b>Structure:</b><br />","<Div class = "column_config_section"> <div class = stile "column_config_para" = "margin-top: -7.5em;"> <b> Struttura: </ b> <br />"
"<div class="column_config_section"><div class="column_config_para">[No] Some couriers (like Royal Mail) require no accents in shipping labels.</div></div>","<Div class = "column_config_section"> <div class = "column_config_para"> [No] Alcuni corrieri (come Royal Mail) non necessitano di accenti in etichette di spedizione. </ Div> </ div>"
"<div class="column_config_section"><div class="column_config_para"><b>Structure:</b><br />","<Div class = "column_config_section"> <div class = "column_config_para"> <b> Struttura: </ b> <br />"
"<div class="column_config_section"><div class="column_config_para">eg. Put your country, then only overseas orders will have country added </div></div>","<Div class = "column_config_section"> <div class = "column_config_para"> ad es. Metti il ​​tuo paese, allora solo gli ordini esteri avranno Paese Data </ ​​div> </ div>"
