"'Allowance' column title","título da coluna 'Provisão'"
"'Attribute 1' column","coluna "Atributo 1""
"'Attribute 2' column","coluna "Atributo 2 '"
"'Attribute 3' column","coluna "Atributo 3 '"
"'Attribute 4' column","coluna "Atributo 4 '"
"'Attribute Combine' column","'Atributo Combine' coluna"
"'Product barcode' column","coluna "código de barras do produto""
"'Product images' column","coluna 'imagens do produto'"
"'Product name' column","coluna 'Nome do produto'"
"'Product weight' column","coluna "Peso do produto '"
"'Qty' column","coluna "Quantidade""
"'ship-address' and 'bill-address' column format",""Navio-address 'e' bill-address 'formato de coluna"
"'ship-address' and' bill-address' column format",""Navio-address 'e' bill-address 'formato de coluna"
"'SKU' column","coluna "SKU""
"'Stock qty' column","coluna 'da Quant'"
"'Stock warning' column","coluna 'stock Aviso'"
"'Tick boxes' next to item SKUs?","'caixas de seleção' próximos ao item SKUs?"
"'Tickbox 2nd' column","coluna 'Tickbox segundo'"
"'Tickbox' column","coluna 'Tickbox'"
"'Warehouse' column","coluna 'Warehouse'"
"(%) Default is 100%","(%) O padrão é 100%"
"(Attribute must exist)","(Atributo deve existir)"
"(Default : "Total Price Col" X-Pos)","(Padrão: "Preço total Col" X-Pos)"
"(Default:No)","(Padrão: Não)"
"(Default:Yes)","(Padrão: Yes)"
"(negative to shift it down)","(Negativo para transferi-lo para baixo)"
"(standard for invoices)","(Padrão para faturas)"
"(Tip: Upload placeholder images in Config > Catalog)","(Dica: imagens de espaço reservado upload no Config> Catalog)"
"(Upload placeholder images in Config > Catalog)","(Imagens de espaço reservado upload no Config> Catalog)"
"(Used if 'Position of shelving info' set to 'Columns')","(Utilizado se 'Posição de prateleiras info' definido para 'Colunas')"
"['Payment due ']","[ 'Devido pagamento']"
"[#000000] (#HEX colour code)","[# 000000] (#hex código de cor)"
"[#111111] (#HEX colour code)","[# 111111] (#hex código de cor)"
"[#5BA638] (#HEX colour code)","[# 5BA638] (#hex código de cor)"
"[#87CEEB] (#HEX colour code)","[# 87CEEB] (código de cor #hex)"
"[#8AC371] (#HEX colour code)","[# 8AC371] (código de cor #hex)"
"[#FFFFFF] (#HEX colour code)","[#FFFFFF] (Código de cor #hex)"
"[10] (negative to shift it down)","[10] (negativo para transferi-lo para baixo)"
"[10] (negative to shift it down)<br />(Make about half image height to center text)<br />(If you need to show options, probably don't shift)","[10] (negativo para transferi-lo para baixo) <br /> (Adicione cerca de meia altura da imagem para centralizar o texto) <br /> (Se você precisa mostrar opções, provavelmente não mudar)"
"[10pt]/5pt (top/bottom), 5pt (left/right)","[10pt] / 5pt (superior / inferior), 5pt (esquerda / direita)"
"[15pt] - Set larger to print a larger barcode","[15pt] - conjunto maior para imprimir um código de barras maior"
"[30] - Set to same as Sku X-Pos to print barcode under Sku","[30] - Definir a mesma que Sku X-Pos para imprimir código de barras sob Sku"
"[blank]","[em branco]"
"[Default = No]","[Default = Não]"
"[Equal]","[Igual]"
"[Invoice then Packing Sheet]","[Folha de Fatura, em seguida, embalagem]"
"[Italic]","[Itálico]"
"[More than]","[Mais que]"
"[No]","[Não]"
"[No] : Default","[Não]: Padrão"
"[No] (No = Word-wrap)","[No] (Não = Palavra-wrap)"
"[No] If set to yes, gift messages will print with this font.","[Não] Se ajustado para sim, mensagens de presente serão impressas com esta fonte."
"[OpenSans]","[OpenSans]"
"[Packing Sheet then Invoice]","[Embalagem Folha, em seguida, Fatura]"
"[Partially: Lines top &amp; bottom]","[Parcialmente: Linhas Top & amp; inferior]"
"[price]","[preço]"
"[qty]","[Qty]"
"[Regular]","[Regular]"
"[sku]","[Sku]"
"[stock]","[estoque]"
"[Yes (from Magento)]","[Sim (a partir de Magento)]"
"[Yes]","[Sim]"
"[Yes] : Default;","[Sim]: Padrão;"
"[Yes] (Adds 'Included' to tax label)","[Sim] (Adds 'incluído' para etiqueta de impostos)"
"[Yes] (No = Word-wrap)","[Sim] (n = Palavra-wrap)"
"[Yes]<br />- If you have slightly 'dirty data' (eg. product names with linebreaks in) set this to yes.","[Sim] <br /> - (. Por exemplo, nomes de produtos com quebras de linha em) Se você tem um pouco "dados sujos" defina-o para yes."
"[Yes]<br />- If you have spreadsheet cells getting mixed up, check this is turned on.<br />- If set to Yes, set the spreadsheet importer to 'Fields de-limited by " character'.","[Sim] <br /> -. Se você tem células da planilha se misturar, verifique este está ligado <br /> - Se definido como Sim, definir o importador de planilha para "Campos de-limitada pelo" caráter "."
"&nbsp;&nbsp;Custom Value","& Nbsp; & nbsp; Valor personalizado"
"&nbsp;&nbsp;Value","& Nbsp; & nbsp; Valor"
"&nbsp;Eg. enter 'Captured amount' to not show authorize.net payments<br / >Separate multiple phrases by the pipe character: <b>|</b>","& Nbsp; Eg. enter 'montante Captured' para não mostrar pagamentos Authorize.net <br /> Separe as várias frases pela barra vertical: <b> | </ b>"
"<b>Default Label dimensions (portrait):</b>","<B> dimensões rótulo padrão (retrato): </ b>"
"<b>Label dimensions:250,200</b>","<B> dimensões da etiqueta: 250.200 </ b>"
"<div class="column_config_section" style="width:60%!important">","<Div class = "column_config_section" style = "width: 60% importante">"
"<div class="column_config_section">","<Div class = "column_config_section">"
"<div class="column_config_section"><div class="column_config_para" style="margin-top: -12em;"><b>Structure:</b> <span class = "comment_code">{if X}</span><span class = "comment_code">{X}</span>,|<span  class = "comment_code">{/if}</span><br /><b>Can use these codes: </b><br /><span class = "comment_code">{prefix}</span><span  class = "comment_code">{name}</span><span class = "comment_code">{firstname}</span><span class = "comment_code">{lastname}</span><span  class = "comment_code">{suffix}</span><span class = "comment_code">{company}</span><span class = "comment_code">{street}</span><span  class = "comment_code">{city}</span><span class = "comment_code">{postcode}</span><span class = "comment_code">{country}</span><br />","<Div class = "column_config_section"> <div class = "column_config_para" style = "margin-top: -12em;"> <b> Estrutura: </ b> <span class = "comment_code"> {if X} </ span class> <span = "comment_code"> {X} </ span>, | <span class = "comment_code"> {/ if} </ span> <br /> <b> pode usar esses códigos: </ b > <br /> <span class = "comment_code"> {prefixo} </ span> <span class = "comment_code"> {name} </ span> <span class = "comment_code"> {firstname} </ span> <span class = "comment_code"> {sobrenome} </ span> <span class = "comment_code"> {sufixo} </ span> <span class = "comment_code"> {empresa} </ span> <span class = " comment_code "> {street} </ span> <span class =" comment_code "> {cidade} </ span> <span class =" comment_code "> {código postal} </ span> <span class =" comment_code "> {country } </ span> <br />"
"<div class="column_config_section"><div class="column_config_para" style="margin-top: -7.5em;"><b>Structure:</b> <span class = "comment_code">{Attribute A}</span>,<span class = "comment_code">{Attribute  B}</span>","<Div class = "column_config_section"> <div class = "column_config_para" style = "margin-top: -7.5em;"> <b> Estrutura: </ b> <span class = "comment_code"> {Atributo A} < / span>, <span class = "comment_code"> {B Atributo} </ span>"
"<div class="column_config_section"><div class="column_config_para" style="margin-top: -7.5em;"><b>Structure:</b> <span class = "comment_code">{if x}</span><span class = "comment_code">{x}</span>,|<span  class = "comment_code">{/if}</span><br /><b>Can use these codes: </b><br /><span class = "comment_code">{prefix}</span><span  class = "comment_code">{name}</span><span class = "comment_code">{firstname}</span><span class = "comment_code">{lastname}</span><span  class = "comment_code">{suffix}</span><span class = "comment_code">{company}</span><span class = "comment_code">{street}</span><span  class = "comment_code">{city}</span><span class = "comment_code">{postcode}</span><span class = "comment_code">{country}</span><br />","<Div class = "column_config_section"> <div class = "column_config_para" style = "margin-top: -7.5em;"> <b> Estrutura: </ b> <span class = "comment_code"> {if x} < / span> <span class = "comment_code"> {x} </ span>, | <span class = "comment_code"> {/ if} </ span> <br /> <b> pode usar esses códigos: </ b> <br /> <span class = "comment_code"> {prefixo} </ span> <span class = "comment_code"> {name} </ span> <span class = "comment_code"> {firstname} </ span > <span class = "comment_code"> {sobrenome} </ span> <span class = "comment_code"> {sufixo} </ span> <span class = "comment_code"> {empresa} </ span> <span class = "comment_code"> {street} </ span> <span class = "comment_code"> {cidade} </ span> <span class = "comment_code"> {código postal} </ span> <span class = "comment_code"> { country} </ span> <br />"
"<div class="column_config_section"><div class="column_config_para" style="margin-top: -7.5em;"><b>Structure:</b><br />","<Div class = "column_config_section"> <div class = "column_config_para" style = "margin-top: -7.5em;"> <b> Estrutura: </ b> <br />"
"<div class="column_config_section"><div class="column_config_para">[No] Some couriers (like Royal Mail) require no accents in shipping labels.</div></div>","<Div class = "column_config_section"> <div class = "column_config_para"> [Não] Alguns correios (como o Royal Mail) não necessitam de acentos em etiquetas de envio. </ Div> </ div>"
"<div class="column_config_section"><div class="column_config_para"><b>Structure:</b><br />","<Div class = "column_config_section"> <div class = "column_config_para"> <b> Estrutura: </ b> <br />"
"<div class="column_config_section"><div class="column_config_para">eg. Put your country, then only overseas orders will have country added </div></div>","<Div class = "column_config_section"> <div class = "column_config_para"> por exemplo. Coloque o seu país, em seguida, apenas encomendas no exterior terão país adicionado </ div> </ div>"
"<div class="column_config_section"><div class="column_config_para">If your PDFs print with missing or tofu (<b style="font-size:200%;font-weight:100;display:inline;position:relative;top:5px;">&#9647;</b>) characters, set this to 'Yes'.<br/>Setting this to 'Yes' will make your PDFs about 0.4mb bigger.<br/>If that doesn't work for you: set 'Customise fonts' to 'Yes'; then set 'Use non-roman characters to 'Yes'; then try the other font families.</div></div>","<Div class = "column_config_section"> <div class = "column_config_para"> Se os seus PDFs imprimir com falta ou tofu (<style b = "font-size: 200%; font-weight: 100; display: inline; position: relative ; top: 5px; "> & # 9647; </ b>) caracteres, defina-o como" Sim "<br/> definição como 'Sim' vai fazer seus PDFs sobre 0,4MB maior <br/> Se isso.. não funciona para você: set "personaliza fontes 'para' Sim '; em seguida, defina "Usar caracteres não-romanos como" Sim "; então tente as outras famílias de fontes. </ div> </ div>"
"<div class="column_config_section"><div class="column_config_para">Set to the most prominent colour in your logo. [#8AC371]<br/>(Used for title borders).</div></div>","<Div class = "column_config_section"> <div class = "column_config_para"> Definir a cor mais proeminente em seu logotipo. [# 8AC371] <br/> (usado para bordas de título). </ Div> </ div>"
"<div class="column_config_section"><div class="column_config_para">Use this if you need a specific cutoff point (eg for labels) which the auto-cutoff is going over","<Div class = "column_config_section"> <div class = "column_config_para"> Use isto se você precisa de um ponto de corte específico (por exemplo, para rótulos) que a auto-corte está passando por cima"
"<img src="//moogento.com/logo/moogento_tinylogo.lp.png" alt="Moogento" width="20" style="vertical-align:bottom;margin-left:-1px;"/> MOOGENTO Extensions","<img src = "// moogento.com/logo/moogento_tinylogo.lp.png" alt = "Moogento" width = "20" style = "vertical-align: bottom; margin-left: -1px;" /> Extensões MOOGENTO"
"18 Flag","18 Flag"
"2 places","2 lugares"
"21 Flag","21 Flag"
"2a Shipmethod match","jogo 2a Shipmethod"
"2b Shipmethod match","jogo 2b Shipmethod"
"2c Shipmethod match","jogo 2c Shipmethod"
"2d Country negative match","correspondência negativa 2d País"
"2nd attribute?","Segundo atributo?"
"2nd background image?","2º imagem de fundo?"
"2nd Custom page title","título da página segunda personalizado"
"2nd Image file","Segundo arquivo de imagem"
"2nd Order attribute code","2ª Ordem atributo de código"
"2nd Order custom attribute?","2ª Ordem atributo personalizado?"
"2nd page title","título 2ª página"
"2nd Sort by :","2º Ordenar por:"
"2nd sort direction :","2ª direção de classificação:"
"3 places","3 lugares"
"3rd attribute?","3ª atributo?"
"4 places","4 lugares"
"4th attribute?","4ª atributo?"
"Above address","acima de endereço"
"According to the USPS all addresses should be capitalised to improve delivery time","De acordo com o USPS todos os endereços devem ser capitalizados para melhorar o tempo de entrega"
"According to the USPS all addresses should be capitalised to improve delivery time and accuracy","De acordo com o USPS todos os endereços devem ser capitalizados para melhorar o tempo de entrega e precisão"
"Action Menu Options","Opções do menu de acção"
"Actual attribute code (eg: shelf)","código de atributo real (por exemplo: de prateleira)"
"Add 'Packed by' note?","Add 'Embalado pelo' nota?"
"Add <b><a href="https://moogento.com/autocn22">autoCN22</a> Customs label?</b>","Adicionar <b> <a href="https://moogento.com/autocn22"> autoCN22 </a> rótulo Aduaneiro? </ B>"
"Add 1 per line, exact attribute labels which you *don't* want to show","Adicione 1 por linha, etiquetas de atributos exatas que você * não * querem mostrar"
