"'Allowance' column title",""Учет" в заголовке столбца"
"'Attribute 1' column","столбец "Атрибут 1 '"
"'Attribute 2' column","столбец "Атрибут 2 '"
"'Attribute 3' column","столбец "Атрибут 3 '"
"'Attribute 4' column","столбец "Атрибут 4 '"
"'Attribute Combine' column","'Атрибут Combine' столбец"
"'Product barcode' column","столбец "штрих-код продукта"
"'Product images' column","Колонка "Изображения товара""
"'Product name' column","столбец "Название""
"'Product weight' column","колонка 'Вес продукта'"
"'Qty' column","Колонка '' Qty"
"'ship-address' and 'bill-address' column format","'Корабль-адрес "и" Счет-адрес "Формат столбца"
"'ship-address' and' bill-address' column format","'Корабль-адрес "и" Счет-адрес "Формат столбца"
"'SKU' column","Колонка '' SKU"
"'Stock qty' column","столбец "со кол-во '"
"'Stock warning' column","столбец "предупреждение со '"
"'Tick boxes' next to item SKUs?",""Tick коробки" рядом с пунктом SKUs?"
"'Tickbox 2nd' column","Колонка 'Tickbox 2-й'"
"'Tickbox' column","колонка 'Tickbox'"
"'Warehouse' column","столбец "Склад""
"(%) Default is 100%","(%) Значение по умолчанию 100%"
"(Attribute must exist)","(Атрибут должен существовать)"
"(Default : "Total Price Col" X-Pos)","(По умолчанию: "Общая стоимость Col" X-Pos)"
"(Default:No)","(По умолчанию: Нет)"
"(Default:Yes)","(По умолчанию: Да)"
"(negative to shift it down)","(Отрицательный, чтобы сдвинуть его вниз)"
"(standard for invoices)","(Стандарт для счетов-фактур)"
"(Tip: Upload placeholder images in Config > Catalog)","(Подсказка: Загрузить шаблонные изображения в Config> Каталог)"
"(Upload placeholder images in Config > Catalog)","(Загрузить шаблонные изображения в Config> Каталог)"
"(Used if 'Position of shelving info' set to 'Columns')","(Используется, если 'Положение полок информации "установлен на" столбцы ")"
"['Payment due ']","['Заплатить до ']"
"[#000000] (#HEX colour code)","[# 000000] (#HEX код цвета)"
"[#111111] (#HEX colour code)","[# 111111] (#HEX код цвета)"
"[#5BA638] (#HEX colour code)","[# 5BA638] (#HEX код цвета)"
"[#87CEEB] (#HEX colour code)","[# 87CEEB] (#HEX код цвета)"
"[#8AC371] (#HEX colour code)","[# 8AC371] (#HEX код цвета)"
"[#FFFFFF] (#HEX colour code)","[#FFFFFF] (#HEX Код цвета)"
"[10] (negative to shift it down)","[10] (отрицательный сдвиг вниз)"
"[10] (negative to shift it down)<br />(Make about half image height to center text)<br />(If you need to show options, probably don't shift)","[10] (отрицательный, чтобы сдвинуть его вниз) <br /> (Сделайте примерно на половину высоты изображения до центра текста) <br /> (Если вам нужно, чтобы показать варианты, вероятно, не сдвигаются)"
"[10pt]/5pt (top/bottom), 5pt (left/right)","[10pt] / 5pt (верх / низ), 5pt (левая / правая)"
"[15pt] - Set larger to print a larger barcode","[15pt] - Установить больше для печати штрих-кодов большего размера"
"[30] - Set to same as Sku X-Pos to print barcode under Sku","[30] - Установить такой же, как Sku X-Pos для печати штрих-кода под Sku"
"[blank]","[Пробел]"
"[Default = No]","[По умолчанию = Нет]"
"[Equal]","[Равное]"
"[Invoice then Packing Sheet]","[Счет-фактура затем упаковочный лист]"
"[Italic]","[Курсив]"
"[More than]","[Больше, чем]"
"[No]","[Нет]"
"[No] : Default","[Нет]: По умолчанию"
"[No] (No = Word-wrap)","[Нет] (Нет = Перенос слов)"
"[No] If set to yes, gift messages will print with this font.","[Нет] Если установлено значение да, подарочные сообщения будут печатать с этим шрифтом."
"[OpenSans]","[OpenSans]"
"[Packing Sheet then Invoice]","[Упаковочный лист затем счет-фактура]"
"[Partially: Lines top &amp; bottom]","[Частично: Линии началу & Amp; дно]"
"[price]","[цена]"
"[qty]","[Кол-во]"
"[Regular]","[Обычный]"
"[sku]","[Ы]"
"[stock]","[акции]"
"[Yes (from Magento)]","[Да (с Magento)]"
"[Yes]","[Да]"
"[Yes] : Default;","[Да]: По умолчанию;"
"[Yes] (Adds 'Included' to tax label)","[Да] (Добавляет "Включено" к налоговой этикетке)"
"[Yes] (No = Word-wrap)","[Да] (Нет = Перенос слов)"
"[Yes]<br />- If you have slightly 'dirty data' (eg. product names with linebreaks in) set this to yes.","[Да] <br /> - (., Например, названия продуктов с переносами в) Если у вас есть несколько "грязных данных" установить это да."
"[Yes]<br />- If you have spreadsheet cells getting mixed up, check this is turned on.<br />- If set to Yes, set the spreadsheet importer to 'Fields de-limited by " character'.","[Да] <br /> -. Если у вас есть ячейки электронных таблиц получать перепутали, это проверить включен <br /> - Если установлено значение Да, установить электронную таблицу импортера 'Поля де-ограничены "характером"."
"&nbsp;&nbsp;Custom Value","& NBSP; & NBSP; пользовательское значение"
"&nbsp;&nbsp;Value","& NBSP; & NBSP; Значение"
