"'Allowance' column title",""Облік" в заголовку стовпця"
"'Attribute 1' column","стовпець "Атрибут 1 '"
"'Attribute 2' column","стовпець "Атрибут 2 '"
"'Attribute 3' column","стовпець "Атрибут 3 '"
"'Attribute 4' column","стовпець "Атрибут 4 '"
"'Attribute Combine' column","'Атрибут Combine' стовпець"
"'Product barcode' column","стовпець "штрих-код продукту"
"'Product images' column","Колонка "Зображення товару""
"'Product name' column","стовпець "Назва""
"'Product weight' column","колонка 'Вага продукту'"
"'Qty' column","Колонка '' Qty"
"'ship-address' and 'bill-address' column format","'Корабель-адреса "і" Рахунок-адреса "Формат стовпця"
"'ship-address' and' bill-address' column format","'Корабель-адреса "і" Рахунок-адреса "Формат стовпця"
"'SKU' column","Колонка '' SKU"
"'Stock qty' column","стовпець "з к-ть '"
"'Stock warning' column","стовпець "попередження з '"
"'Tick boxes' next to item SKUs?",""Tick коробки" поруч з пунктом SKUs?"
"'Tickbox 2nd' column","Колонка 'Tickbox 2-й'"
"'Tickbox' column","колонка 'Tickbox'"
"'Warehouse' column","стовпець "Склад""
"(%) Default is 100%","(%) Значення за замовчуванням 100%"
"(Attribute must exist)","(Атрибут повинен існувати)"
"(Default : "Total Price Col" X-Pos)","(За замовчуванням: "Загальна вартість Col" X-Pos)"
"(Default:No)","(За замовчуванням: Ні)"
"(Default:Yes)","(За замовчуванням: Да)"
"(negative to shift it down)","(Негативний, щоб зрушити його вниз)"
"(standard for invoices)","(Стандарт для рахунків-фактур)"
"(Tip: Upload placeholder images in Config > Catalog)","(Підказка: Завантажити шаблонні зображення в Config> Каталог)"
"(Upload placeholder images in Config > Catalog)","(Завантажити шаблонні зображення в Config> Каталог)"
"(Used if 'Position of shelving info' set to 'Columns')","(Використовується, якщо "Положення полиць інформації" встановлено на "стовпці")"
"['Payment due ']","['Очікуваний платіж ']"
"[#000000] (#HEX colour code)","[# 000000] (#HEX код кольору)"
"[#111111] (#HEX colour code)","[# 111111] (#HEX код кольору)"
"[#5BA638] (#HEX colour code)","[# 5BA638] (#HEX код кольору)"
"[#87CEEB] (#HEX colour code)","[# 87CEEB] (#HEX код кольору)"
