          ;       13324;   ;pago      ;                                        ;01072016      ;104912;200.83.107.40  ;ERR;                    ;1                                                                       
          ;       13376;   ;Filtro    ;Inicio                                  ;01072016      ;105025;200.83.107.40  ;OK ;                    ;Inicio de filtrado                                                      
          ;       13376;   ;Filtro    ;tbk_param.txt                           ;01072016      ;105025;200.83.107.40  ;OK ;                    ;Archivo parseado                                                        
          ;       13376;   ;Filtro    ;Terminado                               ;01072016      ;105025;200.83.107.40  ;OK ;                    ;Datos Filtrados con exito                                               
738462501 ;       13376;   ;pago      ;inicio                                  ;01072016      ;105025;200.83.107.40  ;OK ;597030906268        ;Parseo realizado                                                        
738462501 ;       13376;   ;pago      ;https://webpay.transbank.cl             ;01072016      ;105025;200.83.107.40  ;OK ;597030906268        ;Datos en datos/tbk_config.dat                                           
738462501 ;       13376;   ;pago      ;https://webpay.transbank.cl             ;01072016      ;105025;200.83.107.40  ;OK ;597030906268        ;Mac generado                                                            
738462501 ;       13376;   ;pago      ;https://webpay.transbank.cl             ;01072016      ;105025;200.83.107.40  ;OK ;597030906268        ;Construccion TBK_PARAM                                                  
738462501 ;       13376;   ;pago      ;https://webpay.transbank.cl             ;01072016      ;105025;200.83.107.40  ;OK ;597030906268        ;TBK_PARAM encriptado                                                    
738462501 ;       13376;   ;pago      ;https://webpay.transbank.cl             ;01072016      ;105025;200.83.107.40  ;OK ;597030906268        ;Datos listos para ser enviados                                          
738462501 ;       13376;   ;pago      ;https://webpay.transbank.cl             ;01072016      ;105025;200.83.107.40  ;OK ;597030906268        ;Medio 2: Por redireccion                                                
738462501 ;       13376;   ;pago      ;https://webpay.transbank.cl             ;01072016      ;105025;200.83.107.40  ;OK ;597030906268        ;Redireccion web                                                         
738462501 ;       13376;   ;pago      ;https://webpay.transbank.cl             ;01072016      ;105025;200.83.107.40  ;OK ;597030906268        ;Todo OK                                                                 
          ;       13595;   ;Filtro    ;Inicio                                  ;01072016      ;105738;186.106.220.21 ;OK ;                    ;Inicio de filtrado                                                      
          ;       13595;   ;Filtro    ;tbk_param.txt                           ;01072016      ;105738;186.106.220.21 ;OK ;                    ;Archivo parseado                                                        
          ;       13595;   ;Filtro    ;Terminado                               ;01072016      ;105738;186.106.220.21 ;OK ;                    ;Datos Filtrados con exito                                               
738505843 ;       13595;   ;pago      ;inicio                                  ;01072016      ;105738;186.106.220.21 ;OK ;597026007976        ;Parseo realizado                                                        
738505843 ;       13595;   ;pago      ;https://certificacion.webpay.cl         ;01072016      ;105738;186.106.220.21 ;OK ;597026007976        ;Datos en datos/tbk_config.dat                                           
